Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
39699711,-0.196000,-0.147000,2.401000
39721055,-0.147000,-0.147000,2.499000
39742398,-0.147000,-0.196000,2.548000
39763740,-0.245000,-0.245000,2.499000
39785083,-0.147000,-0.196000,2.450000
39806427,-0.196000,-0.196000,2.450000
39827770,-0.196000,-0.196000,2.401000
39849113,-0.196000,-0.147000,2.450000
39870456,-0.196000,-0.147000,2.450000
39891799,-0.245000,-0.245000,2.548000
39913143,-0.196000,-0.196000,2.499000
39934485,-0.196000,-0.098000,2.401000
39955829,-0.196000,-0.196000,2.450000
39977171,-0.196000,-0.245000,2.450000
39998513,-0.098000,-0.196000,2.499000
40019856,-0.147000,-0.196000,2.450000
40041199,-0.098000,-0.147000,2.548000
40062543,-0.196000,-0.245000,2.548000
40083886,-0.147000,-0.098000,2.499000
40105229,-0.098000,-0.147000,2.450000
40126573,-0.196000,-0.196000,2.450000
40147917,-0.147000,-0.196000,2.499000
40169260,-0.196000,-0.147000,2.450000
40190604,-0.147000,-0.245000,2.548000
40211948,-0.196000,-0.245000,2.450000
40233292,-0.147000,-0.245000,2.499000
40254636,-0.196000,-0.294000,2.450000
40275979,-0.245000,-0.196000,2.450000
40297323,-0.098000,-0.098000,2.499000
40318666,-0.196000,-0.147000,2.499000
40340010,-0.147000,-0.196000,2.450000
40361353,-0.147000,-0.147000,2.450000
40382696,-0.147000,-0.098000,2.548000
40404039,-0.147000,-0.196000,2.548000
40425382,-0.147000,-0.147000,2.450000
40446725,-0.196000,-0.245000,2.548000
40468069,-0.196000,-0.245000,2.450000
40489412,-0.147000,-0.196000,2.450000
40510755,-0.147000,-0.196000,2.499000
